File ID,Hoofdcompetentie,Subcompetentie,Percentage,Perc_Group
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Relationeel vermogen,Assertiviteit,51,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Initiatief,35,0
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Besluitvaardigheid,50,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Flexibiliteit,34,0
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Stressbestendigheid,41,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Ambitie,59,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Zelfstandigheid,63,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Doorzettingsvermogen,44,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Resultaatgerichtheid,53,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Leerbereidheid,54,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Inzet,36,0
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Nauwkeurigheid,59,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatiegerichtheid,Organisatiesensitiviteit,39,0
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatiegerichtheid,Klantoriëntatie,45,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatiegerichtheid,Kwaliteitsgerichtheid,59,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatiegerichtheid,Ondernemerschap,44,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Beïnvloedend vermogen,Overtuigingskracht,47,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Beïnvloedend vermogen,Aansturen van groepen,45,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Beïnvloedend vermogen,Aansturen van individuen,51,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Beïnvloedend vermogen,Coachen van medewerkers,54,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Beïnvloedend vermogen,Onderhandelen,49,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatie vermogen,Plannen en organiseren,43,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatie vermogen,Delegeren,39,0
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatie vermogen,Voortgangscontrole,50,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Relationeel vermogen,Sensitiviteit,47,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Relationeel vermogen,Samenwerking,30,0
06f319de-6e2d-596f-a545-d3fed5b048f1,Relationeel vermogen,Optreden,45,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Relationeel vermogen,Relatiebeheer,37,0
06f319de-6e2d-596f-a545-d3fed5b048f1,Relationeel vermogen,Sociabiliteit,42,1
06f319de-6e2d-596f-a545-d3fed5b048f1,Relationeel vermogen,Assertiviteit,46,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Initiatief,55,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Besluitvaardigheid,60,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Flexibiliteit,28,0
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Stressbestendigheid,54,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Ambitie,46,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Zelfstandigheid,58,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Doorzettingsvermogen,46,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Resultaatgerichtheid,47,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Leerbereidheid,28,0
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Inzet,47,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Nauwkeurigheid,49,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatiegerichtheid,Organisatiesensitiviteit,38,0
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatiegerichtheid,Klantoriëntatie,48,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatiegerichtheid,Kwaliteitsgerichtheid,46,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatiegerichtheid,Ondernemerschap,49,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Beïnvloedend vermogen,Overtuigingskracht,57,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Beïnvloedend vermogen,Aansturen van groepen,62,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Beïnvloedend vermogen,Aansturen van individuen,56,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Beïnvloedend vermogen,Coachen van medewerkers,52,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Beïnvloedend vermogen,Onderhandelen,49,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatie vermogen,Plannen en organiseren,44,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatie vermogen,Delegeren,63,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatie vermogen,Voortgangscontrole,50,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Relationeel vermogen,Sensitiviteit,44,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Relationeel vermogen,Samenwerking,59,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Relationeel vermogen,Optreden,54,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Relationeel vermogen,Relatiebeheer,50,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Relationeel vermogen,Sociabiliteit,58,1
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Relationeel vermogen,Assertiviteit,55,1
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Initiatief,14,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Besluitvaardigheid,24,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Flexibiliteit,27,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Stressbestendigheid,21,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Ambitie,14,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Zelfstandigheid,28,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Doorzettingsvermogen,18,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Resultaatgerichtheid,9,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Leerbereidheid,33,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Inzet,8,0
